,0,1,2,3,4,5,6
0,b),Exhibit Listing,,,,,
1,,,,,Incorporated by Reference,,
2,Exhibit,,Filed,,Period,,
3,Number,Exhibit Description,Herewith,Form,Ending,Exhibit,Filing Date
4,3.1,Amended and Restated Articles of Incorporation of,,8-K,,3.1,12/1/16
5,,Microsoft Corporation,,,,,
6,3.2,Bylaws of Microsoft Corporation,,8-K,,3.2,6/14/17
7,4.1,"Indenture, dated as of May 18, 2009, between",,S-3ASR,,4.1,10/29/15
8,,Microsoft Corporation and The Bank of New York,,,,,
9,,"Mellon Trust Company, N.A., as Trustee (“Base",,,,,
10,,Indenture”),,,,,
11,4.2,Form of First Supplemental Indenture for 2.95%,,8-K,,4.2,5/15/09
12,,"Notes due 2014, 4.20% Notes due 2019, and",,,,,
13,,"5.20% Notes due 2039, dated as of May 18, 2009,",,,,,
14,,between Microsoft Corporation and The Bank of,,,,,
15,,"New York Mellon Trust Company, N.A., as Trustee,",,,,,
16,,to the Base Indenture,,,,,
17,4.5,Form of Second Supplemental Indenture for,,8-K,,4.2,9/27/10
18,,"0.875% Notes due 2013, 1.625% Notes due 2015,",,,,,
19,,"3.00% Notes due 2020, and 4.50% Notes due",,,,,
20,,"2040, dated as of September 27, 2010, between",,,,,
21,,Microsoft Corporation and The Bank of New York,,,,,
22,,"Mellon Trust Company, N.A., as Trustee, to the",,,,,
23,,"Indenture, dated as of May 18, 2009, between",,,,,
24,,Microsoft Corporation and The Bank of New York,,,,,
25,,"Mellon Trust Company, N.A., as Trustee",,,,,
26,,,102,,,,
